Mutation,Supression,Addition,Nb de générations
3.0,2.473684210526316,1.2105263157894737,245
3.0,2.473684210526316,1.263157894736842,301
3.0,2.473684210526316,1.3157894736842106,177
3.0,2.473684210526316,1.368421052631579,206
3.0,2.473684210526316,1.4210526315789473,152
3.0,2.473684210526316,1.4736842105263157,145
3.0,2.473684210526316,1.526315789473684,222
3.0,2.473684210526316,1.5789473684210527,222
3.0,2.473684210526316,1.631578947368421,201
3.0,2.473684210526316,1.6842105263157894,140
3.0,2.473684210526316,1.736842105263158,301
3.0,2.473684210526316,1.7894736842105263,212
3.0,2.473684210526316,1.8421052631578947,104
3.0,2.473684210526316,1.894736842105263,97
3.0,2.473684210526316,1.9473684210526314,250
3.0,2.473684210526316,2.0,189
3.0,2.5789473684210527,1.0,301
3.0,2.5789473684210527,1.0526315789473684,123
3.0,2.5789473684210527,1.1052631578947367,225
3.0,2.5789473684210527,1.1578947368421053,62
3.0,2.5789473684210527,1.2105263157894737,43
3.0,2.5789473684210527,1.263157894736842,75
3.0,2.5789473684210527,1.3157894736842106,209
3.0,2.5789473684210527,1.368421052631579,232
3.0,2.5789473684210527,1.4210526315789473,112
3.0,2.5789473684210527,1.4736842105263157,126
3.0,2.5789473684210527,1.526315789473684,248
3.0,2.5789473684210527,1.5789473684210527,291
3.0,2.5789473684210527,1.631578947368421,301
3.0,2.5789473684210527,1.6842105263157894,146
3.0,2.5789473684210527,1.736842105263158,86
3.0,2.5789473684210527,1.7894736842105263,301
3.0,2.5789473684210527,1.8421052631578947,301
3.0,2.5789473684210527,1.894736842105263,242
3.0,2.5789473684210527,1.9473684210526314,242
3.0,2.5789473684210527,2.0,155
3.0,2.6842105263157894,1.0,95
3.0,2.6842105263157894,1.0526315789473684,162
3.0,2.6842105263157894,1.1052631578947367,301
3.0,2.6842105263157894,1.1578947368421053,297
3.0,2.6842105263157894,1.2105263157894737,298
3.0,2.6842105263157894,1.263157894736842,195
3.0,2.6842105263157894,1.3157894736842106,175
3.0,2.6842105263157894,1.368421052631579,261
3.0,2.6842105263157894,1.4210526315789473,301
3.0,2.6842105263157894,1.4736842105263157,174
3.0,2.6842105263157894,1.526315789473684,211
3.0,2.6842105263157894,1.5789473684210527,114
3.0,2.6842105263157894,1.631578947368421,100
3.0,2.6842105263157894,1.6842105263157894,238
3.0,2.6842105263157894,1.736842105263158,198
3.0,2.6842105263157894,1.7894736842105263,118
3.0,2.6842105263157894,1.8421052631578947,301
3.0,2.6842105263157894,1.894736842105263,177
3.0,2.6842105263157894,1.9473684210526314,235
3.0,2.6842105263157894,2.0,67
3.0,2.789473684210526,1.0,99
3.0,2.789473684210526,1.0526315789473684,56
3.0,2.789473684210526,1.1052631578947367,121
3.0,2.789473684210526,1.1578947368421053,301
3.0,2.789473684210526,1.2105263157894737,301
3.0,2.789473684210526,1.263157894736842,301
